SYMBOL,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,IPI,UNIGENE,UNIPROT
STRA8,ENSG00000146857,ENSP00000275764,ENST00000275764,346673,,Hs.592279,Q7Z7C7
EIF2AK2,ENSG00000055332,,,5610,IPI00385404,Hs.131431,P19525
AP4S1,ENSG00000100478,,,11154,,Hs.293411,Q9Y587
C8orf74,ENSG00000171060,ENSP00000495308,ENST00000643849,203076,,Hs.371776,Q6P047
DCST1,ENSG00000163357,,,149095,,Hs.567717,B4DXB8
ARRDC1-AS1,ENSG00000203993,,,85026,,Hs.522520,
TLK2,ENSG00000146872,,,11011,,Hs.445078,Q86UE8
CUL1,ENSG00000055130,,,8454,IPI00014310,Hs.146806,A0A090N7U0
PRDM11,ENSG00000019485,,,56981,,Hs.178715,A0A087WWZ6
DDX49,ENSG00000105671,,,54555,IPI00003739,Hs.143187,Q9Y6V7
RHOQ,ENSG00000119729,,,23433,,Hs.709193,P17081
KCNMB3,ENSG00000171121,,,27094,,Hs.591285,Q9NPA1
SLC22A18,ENSG00000110628,ENSP00000482330,ENST00000622105,5002,IPI00410347,Hs.50868,Q96BI1
C14orf178,ENSG00000197734,ENSP00000348145,ENST00000650032,283579,,Hs.375834,F8WAD5
RFLNB,ENSG00000183688,ENSP00000331915,ENST00000329099,359845,IPI00166945,Hs.345588,Q8N5W9
PCNP,ENSG00000081154,,,57092,,Hs.732633,Q8WW12
IGHV4-34,,,,28395,,,
BATF,ENSG00000156127,ENSP00000286639,ENST00000286639,10538,,Hs.509964,Q16520
OSTF1,ENSG00000134996,,,26578,IPI00414836,Hs.494192,Q92882
SPNS2,ENSG00000183018,ENSP00000333292,ENST00000329078,124976,,Hs.22824,Q8IVW8
MUC19,ENSG00000205592,,,283463,,Hs.632712,Q7Z5P9
PTPRS,ENSG00000105426,,,5802,IPI00299590,Hs.744928,Q13332
unassigned,,,,,,,
unassigned,,,,,,,
ARFGEF3,ENSG00000112379,ENSP00000251691,ENST00000251691,57221,,Hs.194408,Q5TH69
FANCM,ENSG00000187790,,,57697,,Hs.509229,Q8IYD8
