FLYBASE,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,SYMBOL,UNIGENE,UNIPROT
FBgn0038577,FBgn0038577,FBpp0083036,FBtr0083616,42174,CG12321,Dm.10139,Q9VEC2
FBgn0003209,FBgn0003209,FBpp0309206,FBtr0340231,44851,raw,Dm.1634,Q9VLI4
FBgn0051098,FBgn0051098,FBpp0084237,FBtr0084863,43057,CG31098,Dm.14939,Q9VBT1
FBgn0001122,FBgn0001122,FBpp0089316,FBtr0088272,36104,Galphao,Dm.12982,D5AEN0
FBgn0003091,FBgn0003091,FBpp0086198,FBtr0087049,48311,Pkc53E,Dm.3632,A8DYG9
FBgn0033889,FBgn0033889,FBpp0292959,FBtr0303990,36550,CG6701,,A1Z9K0
FBgn0031104,FBgn0031104,FBpp0291450,FBtr0302241,33032,jb,Dm.36186,Q9VR88
FBgn0001227,FBgn0001227,FBpp0076223,FBtr0076495,39076,Hsp67Ba,Dm.7757,P05812
FBgn0051469,FBgn0051469,FBpp0082309,FBtr0082844,261628,CG31469,Dm.26415,Q8ING6
FBgn0032797,FBgn0032797,FBpp0291317,FBtr0302107,35238,Hasp,Dm.6835,Q058W1
FBgn0025642,FBgn0025642,FBpp0070199,FBtr0070206,31074,CG32812,Dm.26426,O77424
FBgn0015286,FBgn0015286,FBpp0070557,FBtr0070582,31332,Rala,Dm.1689,P48555
FBgn0027503,FBgn0027503,FBpp0081439,FBtr0081959,41072,CG11970,Dm.3129,Q9Y0Z1
FBgn0030743,FBgn0030743,FBpp0305494,FBtr0333302,32599,CG9921,Dm.5305,Q9VXH4
FBgn0085386,FBgn0085386,FBpp0307226,FBtr0335239,5740349,CG34357,Dm.27202,A8JQT1
FBgn0030874,FBgn0030874,FBpp0074239,FBtr0074465,32766,Spt7,Dm.11571,Q9VX12
FBgn0031631,FBgn0031631,FBpp0077107,FBtr0077416,33680,CG3225,Dm.300,Q9VR29
FBgn0031100,FBgn0031100,FBpp0307044,FBtr0335040,33028,CG1504,Dm.27593,Q9VR83
FBgn0011642,FBgn0011642,FBpp0088278,FBtr0089214,317824,Zyx,Dm.20809,H9XVP5
FBgn0028533,FBgn0028533,FBpp0310258,FBtr0343666,34801,CG7953,Dm.33519,Q9V3P4
FBgn0032129,FBgn0032129,FBpp0079456,FBtr0079860,34274,jp,Dm.6993,Q6AWN6
FBgn0264598,FBgn0264598,FBpp0305710,FBtr0333530,31224,PsGEF,Dm.12239,Q29R48
FBgn0036294,FBgn0036294,FBpp0304890,FBtr0332644,39428,CG10654,Dm.5793,M9PFA9
FBgn0031961,FBgn0031961,FBpp0310065,FBtr0343419,34079,CG7102,Dm.345,Q9VLV6
FBgn0032053,FBgn0032053,FBpp0079304,FBtr0079696,34186,mRpL51,Dm.23195,Q9VLJ9
FBgn0032085,FBgn0032085,FBpp0079362,FBtr0079761,34223,CG9555,Dm.23859,Q9VLF8
FBgn0028956,FBgn0028956,FBpp0086111,FBtr0086955,36961,mthl3,,A0A0B4LFS2
Dmel_CG1131,,,,,,,
FBgn0038139,FBgn0038139,FBpp0082242,FBtr0082774,41638,PK2-R2,Dm.14717,Q9VFW6
FBgn0035501,FBgn0035501,FBpp0073071,FBtr0073215,38496,CG1299,Dm.4901,M9PHC2
FBgn0085204,FBgn0085204,FBpp0111281,FBtr0112366,5740264,CG34175,Dm.33401,A1A6N9
FBgn0029658,FBgn0029658,FBpp0070508,FBtr0070532,31312,CG14269,Dm.17744,Q9W4S5
FBgn0261575,FBgn0261575,FBpp0084221,FBtr0084847,43072,tobi,Dm.31344,Q9VBR6
FBgn0264427,,,,14462437,CG43845,,A0A1Z1CH10
FBgn0039479,FBgn0039479,FBpp0288839,FBtr0299564,43257,CG14257,Dm.25023,A0A0B4KHY9
FBgn0036934,FBgn0036934,FBpp0304913,FBtr0332667,40195,sNPF-R,Dm.1010,Q9VW75
FBgn0003321,FBgn0003321,FBpp0073267,FBtr0073411,43944,sbr,Dm.1645,Q9U1H9
FBgn0039366,FBgn0039366,FBpp0310940,FBtr0344619,43110,CG17198,Dm.31345,Q9VBM8
FBgn0051809,FBgn0051809,FBpp0112326,FBtr0113414,318954,CG31809,Dm.30845,Q8INZ8
FBgn0003944,FBgn0003944,FBpp0089155,FBtr0083352,42034,Ubx,Dm.21668,P83949
FBgn0004227,FBgn0004227,FBpp0074011,FBtr0074232,32603,nonA,Dm.179,Q04047
FBgn0039192,FBgn0039192,FBpp0084010,FBtr0084626,42909,CG17784,Dm.31339,Q9VC84
Dmel_CG42345,,,,,,,
FBgn0015519,FBgn0015519,FBpp0308714,FBtr0339652,31767,nAChRalpha3,,Q9W3G6
FBgn0030537,FBgn0030537,FBpp0073690,FBtr0073868,32359,CG12480,Dm.4916,M9NDW5
