SGD,COMMON,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,UNIPROT
S000000286,E2 ubiquitin-conjugating protein UBC4,YBR082C,YBR082C_mRNA,YBR082C_mRNA,852376,P15731
S000005780,PTL1,YOR254C,YOR254C_mRNA,YOR254C_mRNA,854428,P14906
S000005013,L13,YNL069C,YNL069C_mRNA,YNL069C_mRNA,855655,P26785
S000005298,DUS2,YNR015W,YNR015W_mRNA,YNR015W_mRNA,855749,P53720
S000005795,PAC1,YOR269W,YOR269W_mRNA,YOR269W_mRNA,854443,P39946
S000002211,PBP4,YDL053C,YDL053C_mRNA,YDL053C_mRNA,851507,Q07362
S000005862,ALA1,,,,854513,P40825
S000003026,E2 ubiquitin-conjugating protein RAD6,YGL058W,YGL058W_mRNA,YGL058W_mRNA,852822,P06104
S000000233,CDG1,YBR029C,YBR029C_mRNA,YBR029C_mRNA,852317,P38221
S000004765,TPP1,YMR156C,YMR156C_mRNA,YMR156C_mRNA,855188,Q03796
S000006135,THI6,YPL214C,YPL214C_mRNA,YPL214C_mRNA,855887,P41835
S000002256,SNU23,YDL098C,YDL098C_mRNA,YDL098C_mRNA,851460,Q12368
S000000923,,YER121W,YER121W_mRNA,YER121W_mRNA,856858,P40076
S000001124,KSP1,YHR082C,YHR082C_mRNA,YHR082C_mRNA,856482,P38691
S000000397,MED8,YBR193C,YBR193C_mRNA,YBR193C_mRNA,852492,P38304
S000002707,BFR2,YDR299W,YDR299W_mRNA,YDR299W_mRNA,851893,Q06631
S000000862,FCY21,YER060W,YER060W_mRNA,YER060W_mRNA,856788,P40039
S000005249,BXI1,YNL305C,YNL305C_mRNA,YNL305C_mRNA,855411,P48558
S000000766,CRH2,YEL040W,YEL040W_mRNA,YEL040W_mRNA,856671,P32623
S000002352,NUS1,YDL193W,YDL193W_mRNA,YDL193W_mRNA,851334,Q12063
S000000943,COX15,YER141W,YER141W_mRNA,YER141W_mRNA,856884,P40086
S000000357,"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase",YBR153W,YBR153W_mRNA,YBR153W_mRNA,852450,P33312
S000000759,MTC7,YEL033W,YEL033W_mRNA,YEL033W_mRNA,856678,P32633
S000005933,RRP12,YPL012W,YPL012W_mRNA,YPL012W_mRNA,856095,Q12754
S000003753,REE1,YJL217W,YJL217W_mRNA,YJL217W_mRNA,853238,P40893
S000004217,ADY4,YLR227C,YLR227C_mRNA,YLR227C_mRNA,850924,Q05955
S000004888,BUL1,YMR275C,YMR275C_mRNA,YMR275C_mRNA,855318,P48524
S000001274,,,,,854803,
S000001408,ATG32,YIL146C,YIL146C_mRNA,YIL146C_mRNA,854660,P40458
S000005888,CDC63,YOR361C,YOR361C_mRNA,YOR361C_mRNA,854543,P06103
S000001466,DAL1,YIR027C,YIR027C_mRNA,YIR027C_mRNA,854845,P32375
S000000200,SEA4,YBL104C,YBL104C_mRNA,YBL104C_mRNA,852170,P38164
S000007403,gag protein,,,,856907,P0CX65
S000003312,TWF1,YGR080W,YGR080W_mRNA,YGR080W_mRNA,852971,P53250
S000003286,,YGR054W,YGR054W_mRNA,YGR054W_mRNA,852945,P53235
S000005108,IBD2,YNL164C,YNL164C_mRNA,YNL164C_mRNA,855557,P53892
S000002908,L37B,YDR500C,YDR500C_mRNA,YDR500C_mRNA,852111,P51402
S000004179,ATG26,YLR189C,YLR189C_mRNA,YLR189C_mRNA,850886,Q06321
